customer_id,Age
1001,33
1002,34
1003,60
1004,50
1005,47
1006,49
1007,39
1008,39
1009,24
1010,34
1011,53
1012,39
1013,53
1014,44
1015,50
1016,47
1017,34
1018,41
1019,32
1020,47
1021,33
1022,55
1023,31
1024,34
1025,55
1026,31
1027,33
1028,31
1029,53
1030,28
1031,33
1032,46
1033,21
1034,36
1035,39
1036,65
1037,29
1038,38
1039,36
1040,59
1041,47
1042,40
1043,23
1044,67
1045,48
1046,43
1047,40
1048,52
1049,56
1050,33
1051,46
1052,41
1053,39
1054,39
1055,66
1056,61
1057,33
1058,31
1059,36
1060,52
1061,41
1062,36
1063,28
1064,57
1065,43
1066,58
1067,60
1068,40
1069,37
1070,56
1071,38
1072,36
1073,27
1074,47
1075,59
1076,48
1077,31
1078,28
1079,47
1080,62
1081,68
1082,61
1083,33
1084,68
1085,37
1086,58
1087,39
1088,39
1089,38
1090,24
1091,51
1092,29
1093,23
1094,31
1095,23
1096,83
1097,44
1098,44
1099,50
1100,33
1101,39
1102,40
1103,69
1104,23
1105,51
1106,66
1107,47
1108,66
1109,23
1110,47
1111,44
1112,44
1113,50
1114,61
1115,32
1116,52
1117,51
1118,32
1119,37
1120,54
1121,33
1122,63
1123,29
1124,24
1125,50
1126,34
1127,71
1128,30
1129,52
1130,28
1131,62
1132,39
1133,46
1134,36
1135,65
1136,35
1137,31
1138,52
1139,34
1140,31
1141,36
1142,39
1143,35
1144,51
1145,39
1146,39
1147,39
1148,47
1149,64
1150,38
1151,36
1152,39
1153,53
1154,36
1155,44
1156,48
1157,37
1158,43
1159,53
1160,33
1161,39
1162,52
1163,64
1164,52
1165,42
1166,35
1167,56
1168,55
1169,40
1170,47
1171,36
1172,46
1173,66
1174,51
1175,34
1176,30
1177,43
1178,52
1179,35
1180,41
1181,39
1182,39
1183,50
1184,27
1185,33
1186,35
1187,34
1188,41
1189,54
1190,41
1191,47
1192,52
1193,46
1194,22
1195,40
1196,62
1197,26
1198,38
1199,53
1200,49
1201,43
1202,36
1203,36
1204,63
1205,56
1206,48
1207,43
1208,44
1209,40
1210,44
1211,54
1212,72
1213,52
1214,47
1215,67
1216,39
1217,46
1218,64
1219,30
1220,38
1221,36
1222,52
1223,61
1224,29
1225,38
1226,35
1227,55
1228,57
1229,55
1230,39
1231,39
1232,46
1233,37
1234,29
1235,83
1236,29
1237,49
1238,42
1239,63
1240,56
1241,55
1242,32
1243,26
1244,60
1245,48
1246,38
1247,49
1248,41
1249,28
1250,28
1251,48
1252,32
1253,29
1254,32
1255,28
1256,51
1257,44
1258,43
1259,48
1260,37
1261,31
1262,50
1263,47
1264,56
1265,25
1266,63
1267,54
1268,28
1269,26
1270,29
1271,61
1272,45
1273,39
1274,36
1275,41
1276,37
1277,55
1278,83
1279,35
1280,38
1281,35
1282,45
1283,65
1284,41
1285,69
1286,36
1287,42
1288,69
1289,46
1290,55
1291,36
1292,71
1293,65
1294,68
1295,43
1296,30
1297,40
1298,47
1299,39
1300,34
1301,38
1302,38
1303,36
1304,41
1305,36
1306,47
1307,63
1308,35
1309,35
1310,56
1311,41
1312,37
1313,34
1314,32
1315,60
1316,21
1317,59
1318,53
1319,27
1320,62
1321,41
1322,50
1323,54
1324,47
1325,41
1326,43
1327,43
1328,23
1329,25
1330,51
1331,41
1332,49
1333,46
1334,29
1335,53
1336,66
1337,32
1338,74
1339,63
1340,41
1341,40
1342,40
1343,32
1344,49
1345,44
1346,24
1347,70
1348,30
1349,47
1350,27
1351,36
1352,69
1353,52
1354,32
1355,37
1356,32
1357,42
1358,51
1359,34
1360,37
1361,50
1362,36
1363,65
1364,60
1365,46
1366,38
1367,37
1368,46
1369,29
1370,39
1371,25
1372,64
1373,57
1374,44
1375,44
1376,26
1377,37
1378,48
1379,35
1380,67
1381,24
1382,59
1383,47
1384,42
1385,29
1386,54
1387,41
1388,62
1389,29
1390,38
1391,25
1392,33
1393,34
1394,53
1395,46
1396,33
1397,40
1398,32
1399,38
1400,62
1401,35
1402,34
1403,26
1404,31
1405,58
1406,40
1407,22
1408,55
1409,66
1410,39
1411,30
1412,53
1413,23
1414,37
1415,51
1416,37
1417,35
1418,35
1419,40
1420,32
1421,68
1422,65
1423,37
1424,39
1425,22
1426,50
1427,33
1428,33
1429,38
1430,32
1431,51
1432,56
1433,38
1434,35
1435,48
1436,31
1437,38
1438,58
1439,63
1440,40
1441,41
1442,60
1443,60
1444,48
1445,70
1446,27
1447,32
1448,26
1449,51
1450,48
1451,30
1452,56
1453,27
1454,44
1455,39
1456,33
1457,33
1458,60
1459,44
1460,71
1461,44
1462,52
1463,23
1464,69
1465,48
1466,35
1467,59
1468,61
1469,45
1470,25
1471,33
1472,40
1473,68
1474,30
1475,20
1476,42
1477,52
1478,42
1479,24
1480,43
1481,51
1482,39
1483,39
1484,39
1485,57
1486,35
1487,46
1488,51
1489,39
1490,55
1491,42
1492,40
1493,31
1494,39
1495,59
1496,53
1497,41
1498,49
1499,33
1500,36
1501,29
1502,49
1503,39
1504,40
1505,57
1506,56
1507,51
1508,58
1509,67
1510,36
1511,27
1512,60
1513,49
1514,49
1515,35
1516,60
1517,53
1518,38
1519,48
1520,37
1521,42
1522,50
1523,41
1524,39
1525,26
1526,25
1527,34
1528,25
1529,31
1530,47
1531,61
1532,52
1533,56
1534,68
1535,39
1536,40
1537,53
1538,45
1539,28
1540,33
1541,71
1542,46
1543,56
1544,36
1545,35
1546,58
1547,53
1548,64
1549,45
1550,44
1551,52
1552,49
1553,52
1554,56
1555,45
1556,35
1557,38
1558,32
1559,39
1560,32
1561,35
1562,34
1563,48
1564,36
1565,40
1566,47
1567,41
1568,33
1569,33
1570,39
1571,54
1572,44
1573,39
1574,24
1575,65
1576,64
1577,40
1578,39
1579,42
1580,34
1581,38
1582,29
1583,49
1584,39
1585,48
1586,66
1587,25
1588,36
1589,46
1590,37
1591,42
1592,26
1593,33
1594,52
1595,41
1596,25
1597,47
1598,24
1599,32
1600,44
1601,66
1602,64
1603,39
1604,42
1605,35
1606,59
1607,64
1608,40
1609,22
1610,53
1611,34
1612,35
1613,29
1614,24
1615,37
1616,65
1617,36
1618,35
1619,27
1620,36
1621,28
1622,46
1623,70
1624,57
1625,69
1626,28
1627,36
1628,40
1629,80
1630,44
1631,36
1632,41
1633,48
1634,49
1635,42
1636,37
1637,38
1638,58
1639,47
1640,36
1641,66
1642,51
1643,38
1644,40
1645,35
1646,36
1647,37
1648,30
1649,35
1650,48
1651,49
1652,70
1653,40
1654,38
1655,27
1656,46
1657,50
1658,65
1659,22
1660,93
1661,43
1662,67
1663,45
1664,42
1665,58
1666,52
1667,25
1668,35
1669,37
1670,29
1671,29
1672,47
1673,25
1674,39
1675,30
1676,34
1677,60
1678,45
1679,55
1680,34
1681,36
1682,62
1683,57
1684,23
1685,37
1686,68
1687,58
1688,36
1689,52
1690,39
1691,33
1692,48
1693,23
1694,38
1695,24
1696,38
1697,52
1698,36
1699,26
1700,35
1701,48
1702,59
1703,46
1704,49
1705,31
1706,29
1707,45
1708,32
1709,40
1710,69
1711,28
1712,74
1713,48
1714,35
1715,50
1716,38
1717,42
1718,45
1719,38
1720,51
1721,38
1722,46
1723,30
1724,45
1725,31
1726,36
1727,49
1728,39
1729,48
1730,55
1731,36
1732,25
1733,47
1734,41
1735,38
1736,29
1737,34
1738,33
1739,66
1740,29
1741,44
1742,47
1743,39
1744,44
1745,40
1746,39
1747,50
1748,52
1749,54
1750,34
1751,60
1752,22
1753,58
1754,55
1755,62
1756,43
1757,26
1758,37
1759,32
1760,33
1761,43
1762,44
1763,37
1764,49
1765,34
1766,40
1767,42
1768,36
1769,46
1770,32
1771,24
1772,44
1773,33
1774,38
1775,42
1776,35
1777,52
1778,38
1779,25
1780,56
1781,56
1782,23
1783,53
1784,47
1785,45
1786,33
1787,56
1788,43
1789,49
1790,36
1791,58
1792,35
1793,66
1794,43
1795,42
1796,43
1797,54
1798,36
1799,43
1800,68
1801,60
1802,32
1803,55
1804,39
1805,60
1806,42
1807,50
1808,23
1809,39
1810,32
1811,56
1812,61
1813,34
1814,48
1815,34
1816,42
1817,49
1818,29
1819,43
1820,63
1821,34
1822,60
1823,39
1824,39
1825,32
1826,39
1827,54
1828,71
1829,46
1830,30
1831,59
1832,26
1833,46
1834,31
1835,46
1836,35
1837,61
1838,34
1839,55
1840,36
1841,46
1842,49
